Final;Tipo;CMD;Secc.;Fecha Perm.;Permiso;Cod.;A/N;Viv.;Hab.;Sup. Viv.;Sup. Loc.;Sup. Final;Sup. Tot.;Plantas;1H;2H;3H;4H;5H;6H;+6H
02/01/2007;R;C;1;29/11/2006;3295/2006;2;A;0;0;0;125;125;;;0;0;0;0;0;0;0
02/01/2007;R;C;1;20/12/2006;3481/2006;16;A;0;0;0;33;33;;;0;0;0;0;0;0;0
02/01/2007;R;C;2;27/12/2006;3530/2006;4;A;0;0;0;154;154;;;0;0;0;0;0;0;0
03/01/2007;ON;FM;10;18/05/2004;1072/2004;6;N;0;0;0;127;127;127;;0;0;0;0;0;0;0
03/01/2007;R;C;2;18/01/2005;0121/2005;3;A;1;5;73;0;73;;;0;0;1;0;0;0;0
03/01/2007;ON;FM;10;27/06/2006;1586/2006;2;A;1;3;104;0;104;;;0;0;1;0;0;0;0
03/01/2007;R;FM;18;15/12/2006;3440/2006;1;N;1;4;147;0;147;147;;0;0;0;1;0;0;0
03/01/2007;R;C;8;26/12/2006;3508/2006;1;A;0;2;69;0;69;;;0;0;0;0;0;0;0
03/01/2007;R;SO;12;28/12/2006;3542/2006;8;A;0;0;0;23;23;;;0;0;0;0;0;0;0
03/01/2007;R;RZ;5;02/01/2007;0006/2007;1;N;1;1;72;0;72;72;;1;0;0;0;0;0;0
03/01/2007;R;C;8;02/01/2007;0010/2007;7;A;0;0;0;74;74;;;0;0;0;0;0;0;0
03/01/2007;R;VH;7;03/01/2007;0013/2007;3;A;0;1;17;0;17;;;0;0;0;0;0;0;0
04/01/2007;ON;RZ;3;29/01/1999;0171/1999;3;A;0;1;13;0;13;;;0;0;0;0;0;0;0
05/01/2007;ON;C;9;24/09/2004;2083/2004;2;A;0;3;82;0;82;;;0;0;0;0;0;0;0
05/01/2007;M;RZ;3;21/04/2005;0896/2005;4;A;2;8;234;219;453;;;0;0;0;2;0;0;0
05/01/2007;ON;RZ;5;04/05/2005;1007/2005;1;A;0;3;62;0;62;;;0;0;0;0;0;0;0
05/01/2007;ON;C;9;07/09/2006;2383/2006;2;A;0;0;11;0;11;;;0;0;0;0;0;0;0
05/01/2007;R;RZ;4;04/12/2006;3324/2006;1;N;1;2;55;0;55;55;;0;1;0;0;0;0;0
05/01/2007;R;FM;10;18/12/2006;3452/2006;6;A;0;0;0;461;461;;;0;0;0;0;0;0;0
05/01/2007;R;C;9;27/12/2006;3529/2006;6;A;0;0;0;61;61;;;0;0;0;0;0;0;0
05/01/2007;ON;C;9;28/12/2006;3540/2006;2;A;0;0;0;0;0;;;0;0;0;0;0;0;0
05/01/2007;R;RZ;3;04/01/2007;0030/2007;3;A;1;3;55;0;55;;;0;1;0;0;0;0;0
05/01/2007;R;VH;6;05/01/2007;0034/2007;1;A;0;1;23;0;23;;;0;0;0;0;0;0;0
08/01/2007;ON;C;8;22/05/1991;0556/1991;8;N;0;0;0;674;674;674;;0;0;0;0;0;0;0
08/01/2007;ON;C;1;01/06/2004;1175/2004;3;N;12;33;1221;0;1221;1221;;2;3;3;4;0;0;0
08/01/2007;M;VH;7;06/10/2004;2175/2004;1;A;0;3;85;0;85;;;0;0;0;0;0;0;0
08/01/2007;ON;C;8;09/12/2005;2856/2005;4;N;14;16;673;40;713;713;;12;2;0;0;0;0;0
08/01/2007;ON;C;8;27/07/2006;1937/2006;16;A;0;0;0;23;23;;;0;0;0;0;0;0;0
08/01/2007;ON;C;8;09/08/2006;2099/2006;8;A;0;0;0;135;135;;;0;0;0;0;0;0;0
08/01/2007;R;SO;5;26/12/2006;3504/2006;1;N;1;1;96;0;96;96;;1;0;0;0;0;0;0
08/01/2007;ON;C;9;26/12/2006;3510/2006;10;A;0;0;0;98;98;;;0;0;0;0;0;0;0
08/01/2007;C;C;2;26/12/2006;3513/2006;8;C;0;0;0;110;110;110;;0;0;0;0;0;0;0
08/01/2007;ON;C;8;03/01/2007;0014/2007;4;A;0;0;0;0;0;;;0;0;0;0;0;0;0
08/01/2007;R;NO;16;05/01/2007;0036/2007;6;A;0;0;0;0;0;;;0;0;0;0;0;0;0
08/01/2007;R;RZ;3;05/01/2007;0038/2007;1;A;0;3;52;0;52;;;0;0;0;0;0;0;0
09/01/2007;ON;RZ;3;10/06/2004;1264/2004;8;N;0;0;0;308;308;308;;0;0;0;0;0;0;0
09/01/2007;R;NO;14;24/10/2006;2892/2006;1;N;1;1;57;0;57;57;;1;0;0;0;0;0;0
09/01/2007;ON;RZ;3;04/12/2006;3321/2006;8;A;0;0;0;121;121;;;0;0;0;0;0;0;0
09/01/2007;R;SO;12;05/12/2006;3333/2006;4;A;1;3;83;98;181;;;0;0;1;0;0;0;0
09/01/2007;R;SO;5;18/12/2006;3448/2006;8;A;0;0;0;13;13;;;0;0;0;0;0;0;0
09/01/2007;ON;C;8;26/12/2006;3514/2006;8;A;0;0;0;0;0;;;0;0;0;0;0;0;0
09/01/2007;R;SO;5;28/12/2006;3547/2006;16;A;0;0;0;65;65;;;0;0;0;0;0;0;0
09/01/2007;R;SO;5;05/01/2007;0049/2007;4;A;1;2;57;151;208;;;0;1;0;0;0;0;0
09/01/2007;R;RZ;3;09/01/2007;0055/2007;1;A;0;3;87;0;87;;;0;0;0;0;0;0;0
10/01/2007;ON;C;2;15/08/2003;1365/2003;1;N;1;4;184;0;184;184;;0;0;0;1;0;0;0
10/01/2007;ON;SO;12;27/02/2004;0359/2004;6;N;0;0;0;190;190;190;;0;0;0;0;0;0;0
10/01/2007;ON;RZ;4;13/01/2005;0069/2005;6;N;0;0;0;504;504;504;;0;0;0;0;0;0;0
