Marca temporal;Género;Indicá cuál;Edad;Ocupación principal;Indicá cuál;En el último año, tu nivel de uso:;¿Cómo evalúas el estado y mantenimiento de las bicicletas simples? ;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es regular;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es malo;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es muy malo;¿Cómo evalúas la comodidad de las bicicletas simples? ;Indicá las razones por las que considerás que la comodidad de las bicicletas es regular;Indicá las razones por las que considerás que la comodidad de las bicicletas es mala;Indicá las razones por las que considerás que la comodidad de las bicicletas es muy mala;¿Cómo evalúas el funcionamiento general de las estaciones?;Indicá las razones por las que considerás que el funcionamiento de las estaciones es regular;Indicá las razones por las que considerás que el funcionamiento de las estaciones es malo;Indicá las razones por las que considerás que el funcionamiento de las estaciones es muy malo;¿Cómo evalúas las instrucciones para el uso del sistema disponibles en cada estación?;¿En general, cómo evalúas los canales de comunicación disponibles para los usuarios del Sistema de Bicis? ;¿Has utilizado la APP (aplicación gratuita) de Mi Bici Tu Bici? ;La aplicación te ha resultado:;¿Consultas la página web de Mi Bici Tu Bici a la hora de utilizar el sistema?;De bicicletas al momento de su uso;De lugar al momento de devolver la bicicleta ;¿Qué factores te motivan a usar el Sistema de Bicis?;¿Cuál es la actividad principal que motiva tus viajes en el sistema? ;¿Cuál era el principal modo de transporte que utilizabas antes para realizar los viajes que hacés ahora en bicicleta pública? ;¿Has utilizado las bicis dobles (tándem)? ;¿Conocés el sistema de franquicias disponible para trabajadores y estudiantes? ;En una escala de 0 a 10 ¿Cómo valorás el grado de utilidad que tiene para vos el servicio de bicicletas públicas?;En una escala de 0 a 10 ¿Cuál es tu nivel de satisfacción general en relación al servicio?;¿Cuál es la razón principal por la que disminuiste la frecuencia de uso de las bicis públicas o dejaste de usarlas? ;Elija la razón principal a la que atribuye las deficiencias del sistema;¿En qué modo de transporte realizás ahora los viajes que antes hacías con la bicicleta pública? ;¿Has utilizado las bicis dobles (tándem)? ;¿Conocés el sistema de franquicias disponible para trabajadores y estudiantes? ;¿Te gustaría volver a utilizar el sistema con la frecuencia que lo hacías antes?
8/7/2018 9:59:21;Femenino;;27;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Otros motivos;;A pie;Sí;Sí;Sí
8/7/2018 10:15:42;Femenino;;29;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Cuido mi salud, Protección del ambiente;Uso recreativo/ deportivo (sin destino específico);A pie;No;No;10;8;;;;;;
8/7/2018 10:17:09;Masculino;;30;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero, Comodidad;Uso recreativo/ deportivo (sin destino específico);Colectivo;No;No;9;10;;;;;;
8/7/2018 10:19:01;Femenino;;34;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Regular;Tipo de manubrio incómodo, Bici muy pesada;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente;Ir/volver al trabajo;Colectivo;No;No;10;8;;;;;;
8/7/2018 10:19:38;Masculino;;25;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente;Ir/ volver de mi lugar de estudio;Ninguno en particular (usaba distintos modos);No;No;10;8;;;;;;
8/7/2018 10:20:27;Masculino;;43;Trabajador en relación de dependencia;;Ha aumentado;Regular;Mal funcionamiento mecánico, Neumáticos desinflados, Problemas para regular el asiento, Ausencia o mal funcionamiento de luces;;;Buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Algo útil;No;Suficiente;Suficiente;Cuido mi salud, Protección del ambiente, Comodidad;Ir/volver al trabajo;Colectivo;No;Sí;8;7;;;;;;
8/7/2018 10:21:06;Masculino;;23;Trabajador independiente;;Ha aumentado;Muy bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Protección del ambiente;Ir/volver al trabajo;A pie;Sí;No;8;8;;;;;;
8/7/2018 10:21:32;Femenino;;33;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Bici propia;No;No;Sí
8/7/2018 10:21:51;Masculino;;20;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Muy bueno;;;;Regulares;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Cuido mi salud;Uso recreativo/ deportivo (sin destino específico);Colectivo;Sí;No;7;8;;;;;;
8/7/2018 10:22:09;Femenino;;46;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Regular;Neumáticos desinflados, Problemas para regular el asiento;;;Buena;;;;Bueno;;;;Buenas;Buenos;No;;No;No sabe/No contesta;Suficiente;Ahorro de tiempo;Ir/volver al trabajo;Colectivo;No;No;7;7;;;;;;
8/7/2018 10:22:10;Femenino;;39;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Comodidad;La uso para todas mis actividades;Colectivo;Sí;Sí;8;8;;;;;;
8/7/2018 10:22:20;Masculino;;42;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Falta de disponibilidad de bicicletas o espacios para devolución;Bici propia;No;Sí;No sabe/ No contesta
8/7/2018 10:22:30;Masculino;;58;Trabajador independiente;;Ha aumentado;Muy bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Comodidad;Uso recreativo/ deportivo (sin destino específico);Auto como conductor;Sí;Sí;9;9;;;;;;
8/7/2018 10:22:32;Masculino;;27;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Colectivo;Sí;No;Sí
8/7/2018 10:23:07;Masculino;;36;Trabajador en relación de dependencia;;Ha sido constante;Regular;Neumáticos desinflados, Problemas para regular el asiento, Ausencia o mal funcionamiento de luces, Hace ruido al andar;;;Buena;;;;Bueno;;;;Regulares;Buenos;No;;Sí;Suficiente;Insuficiente;Comodidad;Otro;Bici propia;No;No;6;8;;;;;;
8/7/2018 10:23:24;Masculino;;23;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;Colectivo;No;Sí;Sí
8/7/2018 10:23:25;Femenino;;29;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;Ir/volver al trabajo;Colectivo;No;Sí;10;9;;;;;;
8/7/2018 10:23:25;Femenino;;41;Desocupado;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;No;;Sí;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;La uso para todas mis actividades;Otro;No;Sí;10;8;;;;;;
8/7/2018 10:24:01;Femenino;;25;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Bici propia;Sí;Sí;No sabe/ No contesta
8/7/2018 10:24:08;Masculino;;18;Estudiante;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Mal estado de las bicicletas;Colectivo;No;No;Sí
8/7/2018 10:24:10;Femenino;;23;Trabajador en relación de dependencia;;Ha sido constante;Muy bueno;;;;Buena;;;;Bueno;;;;Buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de dinero;Uso recreativo/ deportivo (sin destino específico);Colectivo;No;No;9;9;;;;;;
8/7/2018 10:24:23;Masculino;;37;Trabajador en relación de dependencia;;Ha sido constante;Regular;Mal funcionamiento mecánico, Neumáticos desinflados;;;Buena;;;;Regular;Problemas para liberar la bici;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Comodidad;Ir/volver al trabajo;Taxi/ Remís;No;No;10;7;;;;;;
8/7/2018 10:24:36;Masculino;;36;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Regular;Problemas al leer la tarjeta, Problemas para visualizar la pantalla, Problemas para liberar la bici;;;Buenas;Buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud;Atención médica;Auto como conductor;No;No;3;3;;;;;;
8/7/2018 10:24:49;Femenino;;28;Desocupado;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Colectivo;No;No;Sí
8/7/2018 10:25:18;Femenino;;51;Otro;OCASIONAL;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Regular;Problemas para liberar la bici;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Comodidad;La uso para todas mis actividades;Colectivo;No;No;8;8;;;;;;
8/7/2018 10:25:22;Masculino;;29;Desocupado;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Colectivo;No;No;Sí
8/7/2018 10:25:42;Masculino;;53;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Regular;Mal funcionamiento mecánico, Neumáticos desinflados, Problemas para regular el asiento;;;Regular;Se debe pedalear mucho para avanzar, Tipo de manubrio incómodo, Bici muy pesada, Tipo de asiento, Diseño general deficiente;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Insuficiente;Insuficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente;Ir/volver al trabajo;Colectivo;No;No;6;6;;;;;;
8/7/2018 10:25:58;Femenino;;27;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud;Actividades sociales;Colectivo;No;No;6;6;;;;;;
8/7/2018 10:26:02;Femenino;;29;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Comodidad;Ir/volver al trabajo;Auto como conductor;No;No;10;10;;;;;;
8/7/2018 10:26:22;Masculino;;46;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Auto como conductor;No;No;Sí
8/7/2018 10:26:57;Femenino;;48;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Comodidad;Actividades sociales;Auto como conductor;No;Sí;10;9;;;;;;
8/7/2018 10:27:03;Femenino;;21;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Regular;Neumáticos desinflados, Hace ruido al andar;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero;Ir/ volver de mi lugar de estudio;Colectivo;No;Sí;8;7;;;;;;
8/7/2018 10:27:06;Femenino;;49;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Otro;Colectivo;No;No;Sí
8/7/2018 10:27:11;Femenino;;48;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Protección del ambiente, Comodidad;Ir de compras/ gastronomía;Colectivo;No;No;10;9;;;;;;
8/7/2018 10:27:22;Femenino;;31;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Regulares;Buenos;Sí;Algo útil;No;Insuficiente;Insuficiente;Ahorro de dinero;Actividades sociales;Colectivo;No;No;5;3;;;;;;
8/7/2018 10:27:22;Masculino;;35;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Regulares;Buenos;Sí;Muy útil;No;Insuficiente;Insuficiente;Comodidad, Otro;Uso recreativo/ deportivo (sin destino específico);Ninguno en particular (usaba distintos modos);No;No;8;7;;;;;;
