"Tipo de Gestion","Modalidad","Número","Año","Objeto","Descripción","Rubros|SubRubros","Moneda del pliego","Monto Original","Organismo Licitante","Organismos Comitentes","Fecha y Hora de Apertura","Lugar de Apertura","Moneda del pliego","Valor del Pliego   ","Expedientes","Enlaces Documentacion","Estado de la Gestion","Fecha de Último Estado"
"CONCURSO PÚBLICO","Sin Modalidad","1",2018,"CONTRATACION DE UN SERVICIO DE DISEÑO DE UN PROYECTO EJECUTIVO PARA EL DESARROLLO CONCEPTUAL DEL MUSEO DEL DEPORTE SANTAFESINO, QUE DEBERÁ INCLUIR LA PROVISION, INSTALACION Y PUESTA EN FUNCIONAMIENTO DE EQUIPAMIENTO Y LUMINARIAS, CAPACITACION Y MANTENIMIENTO, CON DESTINO AL MUSEO DEL DEPORTE SANTAFESINO EN LA CIUDAD DE ROSARIO DEPENDIENTE DEL MINISTERIO DE INNOVACIÓN Y CULTURA","CONTRATACION DE SERVICIO DE DISEÑO DE  PROYECTO EJECUTIVO ","PROV. INST. Y PUESTA EN FUNCIONAMIENTO/PROV. INST. Y PUESTA EN FUNCIONAMIENTO","PESOS",129974600,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE INNOVACIÓN Y CULTURA","13-08-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 52000","01201-0012616-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121251&contar=1&solodocs=1","EN TRAMITE","13-08-2018 23:20 hs."
"CONCURSO DE PRECIOS","Sin Modalidad","1",2018,"ALQUILER INMUEBLE EN LA CIUDAD DE LAS ROSAS PARA FUNCIONAMIENTO DE LA DELEGACIÓN DEL I.A.P.O.S.",,"EDIFICIOS E INSTALACIONES/EDIFICIOS E INSTALACIONES","PESOS",159125,"INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","10-04-2018 11:00 hs.","I.A.P.O.S. - DPTO. CONTRATACIONES - SAN MARTÍN 3145 - C.P. 3000 - SANTA FE","PESOS","SON PESOS: SESENTA Y TRES CON 65/100.-","15302-0010397-7","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120842&contar=1&solodocs=1","EN TRAMITE","10-04-2018 23:20 hs."
"CONCURSO DE PRECIOS","Sin Modalidad","1",2018,"""CONSTRUCCION DE OFICINA TECNICA PARA EL FUNCIONAMIENTO DEL DEPARTAMENTO DE OBRA PUBLICA - TRIBUNAL DE CUENTAS DE LA PROVINCIA DE SANTA FE - DOCMICILIO SAN JERONIMO 1701","""CONSTRUCCION DE OFICINA TECNICA PARA EL FUNCIONAMIENTO DEL DEPARTAMENTO DE OBRA PUBLICA - TRIBUNAL DE CUENTAS DE LA PROVINCIA DE SANTA FE - DOCMICILIO SAN JERONIMO 1701","CONSTRUCCIONES/OBRAS","PESOS",124800,"TRIBUNAL DE CUENTAS","TRIBUNAL DE CUENTAS","07-05-2018 10:00 hs.","SAN JERÓNIMO 1850 - D.G.A. - COORDINACION GENERAL DE SAERVICIOS CENTRALES Y CONTRACIONES","PESOS","$  150.00","00901-0083422-7","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120959&contar=1&solodocs=1","EN TRAMITE","07-05-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"CTRO DE PEDIDO: FARMACIA- NUTRICIONES PARENTERALES","NUTRICIONES PARENTERALES PARA EL SERVICIO DE NEONATOLOGÍA CON BOMBAS DE INFUSIÓN EN COMODATO","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",1300000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","05-01-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS QUINIENTOS VEINTE CON 00/100 ($ 520.-)","3966/2017","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120562&contar=1&solodocs=1","CONCLUIDA","02-02-2018 18:21 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"OBRA: RECONSTRUCCION CUBIERTA EN PABELLON Nº 2 DE ESTA COLONIA PSIQUIATRICA DE OLIVEROS ""DR. A. I. FREYRE""","CONTRATACION PARA LA PROVISION DE OBRA POR LA RECONSTRUCCION DE CUBIERTA EN PABELLON Nº 2 DE ESTA COLONIA PSIQUIATRICA DE OLIVEROS "" DR. A. I. FREYRE"" (SEGUN MEMORIA DESCRIPTIVA EN PBYC)","CONSTRUCCIONES/OBRAS","PESOS","1399111,45","COLONIA PSIQUIÁTRICA OLIVEROS","COLONIA PSIQUIÁTRICA OLIVEROS","10-01-2018 10:00 hs.","COLONIA PSIQUIATRICA DE OLIVEROS "" DR. A. I. FREYRE"" - OFICINA DE COMPRAS, PATRIMONIO Y SUMINISTROS","PESOS","$  559,64 (PESOS QUINIENTOS CINCUENTA Y NUEVE C/64/00)","00501-0156601-7","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120563&contar=1&solodocs=1","CONCLUIDA","31-01-2018 13:04 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"CONTRATACIÓN DEL SERVICIO DE VIGILANCIA PARA LA PROTECCIÓN DE INSTALACIONES, BIENES Y PERSONAS EN EL CENTRO REGIONAL DE SALUD MENTAL ""DR AGUDO AVILA""",,"OTROS SERVICIOS/VIGILANCIA","PESOS",2695000,"CENTRO REGIONAL DE SALUD MENTAL AGUDO AVILA","CENTRO REGIONAL DE SALUD MENTAL AGUDO AVILA","22-01-2018 10:00 hs.","2º PISO OFICINA DE CONTADURÍA Y COMPRAS. SUIPACHA 667. ROSARIO.","PESOS","$  1078","0554 - D","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120589&contar=1&solodocs=1","CONCLUIDA","07-03-2018 12:11 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"ADQUISICIÓN DE MATERIAL DESCARTABLE PARA EL SERVICIO DE ESTERILIZACIÓN ","ADQUISICIÓN DE MATERIAL DESCARTABLE PARA EL SERVICIO DE ESTERILIZACIÓN ","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS, INSTRUMENTAL E INSUMOS MEDICOS|  EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS","5987297,14","HOSPITAL DR. JOSE MARÍA CULLEN","HOSPITAL DR. JOSE MARÍA CULLEN","15-01-2018 10:00 hs.","DIVISIÓN COMPRAS HOSPITAL DR. JOSÉ MARÍA CULLEN, AV. FREYRE Nº 2150, 1º PISO . SANTA FE - CP. 3000","PESOS","$  2.395,00.-","3934/2017","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120595&contar=1&solodocs=1","EN TRAMITE","15-01-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"LOCACION DE UN INMUEBLE EN LA CIUDAD DE VERA CON DESTINO A LA SECRETARIA DE TECNOLOGIAS PARA LA GESTION DEPENDIENTE DEL MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","LOCACION DE UN INMUEBLE ","ALQUILERES/ALQUILER DE INMUEBLES","PESOS",538200,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES|  MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO (DIR. ADM.)","22-01-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 220","00108-0008546-8","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120605&contar=1&solodocs=1","CONCLUIDA","23-01-2018 00:00 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"ADQUISICIÓN MEDICAMENTOS, SUEROS ,SOLUCIONES, LECHES MATERNIZADAS, ALIMENTACIÓN ENTERAL Y PARENTERAL EN DOS ENTREGAS DE 0 Y 30 DÍAS",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",1300000,"HOSPITAL SAMCO DR. JAIME FERRÉ","HOSPITAL SAMCO DR. JAIME FERRÉ","23-01-2018 08:30 hs.","SECCION COMPRAS Y SUMINISTROS ","PESOS","$  520.-",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120607&contar=1&solodocs=1","EN TRAMITE","23-01-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"ADQUISICION DE MATERIALES DECARTABLES PARA UN PERIODO DE TRES (3) MESES CON DESTINO A LOS CENTROS DE SALUD DEPENDIENTES DEL NODO ROSARIO (APS ROSARIO)","ADQUISICION DE MATERIALES DECARTABLES PARA UN PERIODO DE TRES (3) MESES CON DESTINO A LOS CENTROS DE SALUD DEPENDIENTES DEL NODO ROSARIO (APS ROSARIO)","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",2105350,"HOSPITAL PROVINCIAL DE ROSARIO - APS","HOSPITAL PROVINCIAL DE ROSARIO - APS","18-01-2018 10:00 hs.","OFICINA DE COMPRAS  Y SUMINISTROS APS ROSARIO - HOPSITAL PROVINCIAL DE ROSARIO - ALEM 1450 - TEL/FAX (0341) 4721502","PESOS","$ 842 (PESOS OCHOCIENTOS CUARENTA Y DOS)",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120614&contar=1&solodocs=1","EN TRAMITE","18-01-2018 23:20 hs."
